       0.000      agent                   wait for [isa=text]
      13.735      agent                   recall ground rules
      13.785      agent.memory            recalling ground rules
      13.985      agent.memory            recalled ground rules
      13.985      agent                   recall ground rules
      14.035      agent.memory            recalling ground rules
      14.235      agent.memory            recalled ground rules
      14.235      agent                   recall ground rules
      14.285      agent.memory            recalling ground rules
      14.485      agent.memory            recalled ground rules
      14.485      agent                   recall ground rules
      14.535      agent.memory            recalling ground rules
      14.735      agent.memory            recalled ground rules
      14.735      agent                   recall ground rules
      14.785      agent.memory            recalling ground rules
      14.985      agent.memory            recalled ground rules
      14.985      agent                   recall ground rules
      15.035      agent.memory            recalling ground rules
      15.235      agent.memory            recalled ground rules
      15.235      agent                   recall ground rules
      15.285      agent.memory            recalling ground rules
      15.485      agent.memory            recalled ground rules
      15.485      agent                   recall ground rules
      15.535      agent.memory            recalling ground rules
      15.735      agent.memory            recalled ground rules
      15.735      agent                   recall ground rules
      15.785      agent.memory            recalling ground rules
      15.985      agent.memory            recalled ground rules
      15.985      agent                   recall ground rules
      16.035      agent.memory            recalling ground rules
      16.235      agent.memory            recalled ground rules
      16.235      agent                   recall ground rules
      16.285      agent.memory            recalling ground rules
      16.485      agent.memory            recalled ground rules
      16.485      agent                   recall ground rules
      16.535      agent.memory            recalling ground rules
      16.735      agent.memory            recalled ground rules
      16.735      agent                   recall ground rules
      16.785      agent.memory            recalling ground rules
      16.985      agent.memory            recalled ground rules
      16.985      agent                   recall ground rules
      17.035      agent.memory            recalling ground rules
      17.235      agent.memory            recalled ground rules
      17.235      agent                   recall ground rules
      17.285      agent.memory            recalling ground rules
      17.485      agent.memory            recalled ground rules
      17.485      agent                   recall ground rules
      17.535      agent.memory            recalling ground rules
      17.735      agent.memory            recalled ground rules
      17.735      agent                   recall ground rules
      17.785      agent.memory            recalling ground rules
      17.985      agent.memory            recalled ground rules
      17.985      agent                   recall ground rules
      18.035      agent.memory            recalling ground rules
      18.235      agent.memory            recalled ground rules
      18.235      agent                   recall ground rules
      18.285      agent.memory            recalling ground rules
      18.485      agent.memory            recalled ground rules
      18.485      agent                   recall ground rules
      18.535      agent.memory            recalling ground rules
      18.735      agent.memory            recalled ground rules
      18.735      agent                   recall ground rules
      18.785      agent.memory            recalling ground rules
      18.985      agent.memory            recalled ground rules
      18.985      agent                   recall ground rules
      19.035      agent.memory            recalling ground rules
      19.235      agent.memory            recalled ground rules
      19.235      agent                   recall ground rules
      19.285      agent.memory            recalling ground rules
      19.485      agent.memory            recalled ground rules
      19.485      agent                   recall ground rules
      19.535      agent.memory            recalling ground rules
      19.735      agent.memory            recalled ground rules
      19.735      agent                   recall ground rules
      19.785      agent.memory            recalling ground rules
      19.985      agent.memory            recalled ground rules
      19.985      agent                   recall ground rules
      20.035      agent.memory            recalling ground rules
      20.235      agent.memory            recalled ground rules
      20.235      agent                   recall ground rules
      20.285      agent.memory            recalling ground rules
      20.485      agent.memory            recalled ground rules
      20.485      agent                   recall ground rules
      20.535      agent.memory            recalling ground rules
      20.735      agent.memory            recalled ground rules
      20.735      agent                   recall ground rules
      20.785      agent.memory            recalling ground rules
      20.985      agent.memory            recalled ground rules
      20.985      agent                   recall ground rules
      21.035      agent.memory            recalling ground rules
      21.235      agent.memory            recalled ground rules
      21.235      agent                   recall ground rules
      21.285      agent.memory            recalling ground rules
      21.485      agent.memory            recalled ground rules
      21.485      agent                   recall ground rules
      21.535      agent.memory            recalling ground rules
      21.735      agent.memory            recalled ground rules
      21.735      agent                   recall ground rules
      21.785      agent.memory            recalling ground rules
      21.985      agent.memory            recalled ground rules
      21.985      agent                   recall ground rules
      22.035      agent.memory            recalling ground rules
      22.235      agent.memory            recalled ground rules
      22.235      agent                   recall ground rules
      22.285      agent.memory            recalling ground rules
      22.485      agent.memory            recalled ground rules
      22.485      agent                   recall ground rules
      22.535      agent.memory            recalling ground rules
      22.735      agent.memory            recalled ground rules
      22.735      agent                   recall ground rules
      22.785      agent.memory            recalling ground rules
      22.985      agent.memory            recalled ground rules
      22.985      agent                   recall ground rules
      23.035      agent.memory            recalling ground rules
      23.235      agent.memory            recalled ground rules
      23.235      agent                   recall ground rules
      23.285      agent.memory            recalling ground rules
      23.485      agent.memory            recalled ground rules
      23.485      agent                   recall ground rules
      23.535      agent.memory            recalling ground rules
      23.735      agent.memory            recalled ground rules
      23.735      agent                   recall ground rules
      23.785      agent.memory            recalling ground rules
      23.985      agent.memory            recalled ground rules
      23.985      agent                   recall ground rules
      24.035      agent.memory            recalling ground rules
      24.235      agent.memory            recalled ground rules
      24.235      agent                   recall ground rules
      24.285      agent.memory            recalling ground rules
      24.485      agent.memory            recalled ground rules
      24.485      agent                   recall ground rules
      24.535      agent.memory            recalling ground rules
      24.735      agent.memory            recalled ground rules
      24.735      agent                   recall ground rules
      24.785      agent.memory            recalling ground rules
      24.985      agent.memory            recalled ground rules
      24.985      agent                   recall ground rules
      25.035      agent.memory            recalling ground rules
      25.235      agent.memory            recalled ground rules
      25.235      agent                   recall ground rules
      25.285      agent.memory            recalling ground rules
      25.485      agent.memory            recalled ground rules
      25.485      agent                   recall ground rules
      25.535      agent.memory            recalling ground rules
      25.735      agent.memory            recalled ground rules
      25.735      agent                   recall ground rules
      25.785      agent.memory            recalling ground rules
      25.985      agent.memory            recalled ground rules
      25.985      agent                   recall ground rules
      26.035      agent.memory            recalling ground rules
      26.235      agent.memory            recalled ground rules
      26.235      agent                   recall ground rules
      26.285      agent.memory            recalling ground rules
      26.485      agent.memory            recalled ground rules
      26.485      agent                   recall ground rules
      26.535      agent.memory            recalling ground rules
      26.735      agent.memory            recalled ground rules
      26.735      agent                   recall ground rules
      26.785      agent.memory            recalling ground rules
      26.985      agent.memory            recalled ground rules
      26.985      agent                   recall ground rules
      27.035      agent.memory            recalling ground rules
      27.235      agent.memory            recalled ground rules
      27.235      agent                   recall ground rules
      27.285      agent.memory            recalling ground rules
      27.485      agent.memory            recalled ground rules
      27.485      agent                   recall ground rules
      27.535      agent.memory            recalling ground rules
      27.735      agent.memory            recalled ground rules
      27.735      agent                   recall ground rules
      27.785      agent.memory            recalling ground rules
      27.985      agent.memory            recalled ground rules
      27.985      agent                   recall ground rules
      28.035      agent.memory            recalling ground rules
      28.235      agent.memory            recalled ground rules
      28.235      agent                   recall ground rules
      28.285      agent.memory            recalling ground rules
      28.485      agent.memory            recalled ground rules
      28.485      agent                   recall ground rules
      28.535      agent.memory            recalling ground rules
      28.735      agent.memory            recalled ground rules
      28.735      agent                   recall ground rules
      28.785      agent.memory            recalling ground rules
      28.985      agent.memory            recalled ground rules
      28.985      agent                   recall ground rules
      29.035      agent.memory            recalling ground rules
      29.235      agent.memory            recalled ground rules
      29.235      agent                   recall ground rules
      29.285      agent.memory            recalling ground rules
      29.485      agent.memory            recalled ground rules
      29.485      agent                   recall ground rules
      29.535      agent.memory            recalling ground rules
      29.735      agent.memory            recalled ground rules
      29.735      agent                   recall ground rules
      29.785      agent.memory            recalling ground rules
      29.985      agent.memory            recalled ground rules
      29.985      agent                   recall ground rules
      30.035      agent.memory            recalling ground rules
      30.235      agent.memory            recalled ground rules
